id,url,nombre,sku,precio_regular,precio_oferta,moneda,en_stock,stock_cantidad,marca,categorias,tags,descripcion_corta,descripcion_larga,imagenes
22961,https://dicabolivia.com/product/balun-hikvision-hdcvi-tvi-ahd-cvbs-soporta-hasta-8mp/,"BALUN HIKVISION HDCVI/TVI/AHD/CVBS, SOPORTA HASTA 8MP",DS-1H18S/E(C),50.0,45.0,Bs.,True,,hikvision,,,Video/Audio Balun -Balun UTP de vídeo pasivo de 1 canal. -Coloque el terminal tipo prensa en la parte superior y cierre a un lado. -Admite cámara/DVR del dispositivo con POC -Transmisión de señal de vídeo en tiempo real y vídeo estable y de alta calidad. -Compatible con HDCVI/TVI/AHD/CVBS -Distancia de transmisión: Cámara no POC Máx. 250 m; cámara POC máx. 150 metros. -Antiinterferencia superior,Description Video/Audio Balun -Balun UTP de vídeo pasivo de 1 canal. -Coloque el terminal tipo prensa en la parte superior y cierre a un lado. -Admite cámara/DVR del dispositivo con POC -Transmisión de señal de vídeo en tiempo real y vídeo estable y de alta calidad. -Compatible con HDCVI/TVI/AHD/CVBS -Distancia de transmisión: Cámara no POC Máx. 250 m; cámara POC máx. 150 metros. -Antiinterferencia superior,https://dicabolivia.com/wp-content/uploads/2026/04/2222-2.png; https://dicabolivia.com/wp-content/uploads/2026/04/BALUN.webp; https://dicabolivia.com/wp-content/uploads/2026/04/111-600x600.png; https://dicabolivia.com/wp-content/uploads/2026/04/4444-600x500.png; https://dicabolivia.com/wp-content/uploads/2026/04/666-2-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/777-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/444-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/222-600x600.webp
22983,https://dicabolivia.com/product/bracket-para-camara/,BRACKET PARA CAMARA,DH-PFA12A,30.0,25.0,Bs.,True,,dahua,,,BRACKET PARA CAMARA *EXCELENTE PARA CAMARAS DOMO Y BALA *RESISTENTE AL AGUA *CON ESPACIO PARA COLOCAR EL BALUM,Description BRACKET PARA CAMARA *EXCELENTE PARA CAMARAS DOMO Y BALA *RESISTENTE AL AGUA *CON ESPACIO PARA COLOCAR EL BALUM,https://dicabolivia.com/wp-content/uploads/2026/04/666-1.webp; https://dicabolivia.com/wp-content/uploads/2026/04/BALUN.webp; https://dicabolivia.com/wp-content/uploads/2026/04/11111-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/4444-600x500.png; https://dicabolivia.com/wp-content/uploads/2026/04/111-600x600.png; https://dicabolivia.com/wp-content/uploads/2026/04/55555-600x600.jpg; https://dicabolivia.com/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-22-at-12.44.00-600x600.png; https://dicabolivia.com/wp-content/uploads/2026/04/777-600x600.webp
22981,https://dicabolivia.com/product/caja-ciega-13x8-cm-para-camaras/,CAJA CIEGA 13X8 CM PARA CAMARAS,CCG,15.0,10.0,Bs.,True,,ROWLAND,,,CAJA DE CONEXIONES PARA CAMARAS BALA COLOR BLANCO 13X8 CM,Description CAJA DE CONEXIONES PARA CAMARAS BALA COLOR BLANCO 13X8 CM,https://dicabolivia.com/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-22-at-12.44.00.png; https://dicabolivia.com/wp-content/uploads/2026/04/BALUN.webp; https://dicabolivia.com/wp-content/uploads/2026/04/222-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/3333333333333333333-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/555-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/111-600x600.png; https://dicabolivia.com/wp-content/uploads/2026/04/2222-2.png; https://dicabolivia.com/wp-content/uploads/2026/04/4444-1-600x600.webp
22979,https://dicabolivia.com/product/caja-de-conexiones-para-camaras-bala/,CAJA DE CONEXIONES PARA CAMARAS BALA,DH-PFA134,60.0,45.0,Bs.,True,,dahua,,,CAJA DE CONEXIONES PARA CAMARAS BALA *MATERIAL ALEACIÓN DE ALUMINIO *COLOR BLANCO,Description CAJA DE CONEXIONES PARA CAMARAS BALA *MATERIAL ALEACIÓN DE ALUMINIO *COLOR BLANCO,https://dicabolivia.com/wp-content/uploads/2026/04/555.webp; https://dicabolivia.com/wp-content/uploads/2026/04/BALUN.webp; https://dicabolivia.com/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-22-at-12.44.00-600x600.png; https://dicabolivia.com/wp-content/uploads/2026/04/11111-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/222-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/3333333333333333333-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/666-1-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/2222-2.png
22985,https://dicabolivia.com/product/caja-de-sobreponer-exterior-15x15x7-cm/,CAJA DE SOBREPONER EXTERIOR 15X15X7 CM,F308,35.0,28.0,Bs.,True,,Dimax,,,"CAJA DE SOBREPONER PARA EXTERIOR, MEDIDA: 15X15X7 CM, CERTIFICACIÓN IP65, IDEAL PARA ALOJAR Y PROTEGER CONEXIONES DE SISTEMAS DE CCTV.","Description CAJA DE SOBREPONER PARA EXTERIOR, MEDIDA: 15X15X7 CM, CERTIFICACIÓN IP65, IDEAL PARA ALOJAR Y PROTEGER CONEXIONES DE SISTEMAS DE CCTV.",https://dicabolivia.com/wp-content/uploads/2026/04/777.webp; https://dicabolivia.com/wp-content/uploads/2026/04/BALUN.webp; https://dicabolivia.com/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-22-at-12.44.00-600x600.png; https://dicabolivia.com/wp-content/uploads/2026/04/BALUN-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/3333-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/2222-2.png; https://dicabolivia.com/wp-content/uploads/2026/04/555-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/111-600x600.png
22995,https://dicabolivia.com/product/conector-bnc-bornera-de-conexion/,CONECTOR BNC *BORNERA DE CONEXION,N037,6.0,5.0,Bs.,True,,Dimax,,,CONECTOR BNC *BORNERA DE CONEXION *TIPO MACHO,Description CONECTOR BNC *BORNERA DE CONEXION *TIPO MACHO,https://dicabolivia.com/wp-content/uploads/2026/04/666-2.webp; https://dicabolivia.com/wp-content/uploads/2026/04/BALUN.webp; https://dicabolivia.com/wp-content/uploads/2026/04/11111-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/555-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/4444-1-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/4444-600x500.png; https://dicabolivia.com/wp-content/uploads/2026/04/BALUN-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/555-1-600x600.webp
22991,https://dicabolivia.com/product/conector-plug-dc-tipo-hembra/,CONECTOR PLUG DC TIPO HEMBRA,N049,6.0,4.0,Bs.,True,,Dimax,,,CONECTOR PLUG DC TIPO HEMBRA *25CM *PARA ALIMENTACION DE LAS CAMARAS ANALOGICAS,Description CONECTOR PLUG DC TIPO HEMBRA *25CM *PARA ALIMENTACION DE LAS CAMARAS ANALOGICAS,https://dicabolivia.com/wp-content/uploads/2026/04/444.webp; https://dicabolivia.com/wp-content/uploads/2026/04/BALUN.webp; https://dicabolivia.com/wp-content/uploads/2026/04/777-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/3333333333333333333-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/111-600x600.png; https://dicabolivia.com/wp-content/uploads/2026/04/555-1-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/4444-1-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/666-2-600x600.webp
22993,https://dicabolivia.com/product/conector-plug-dc-tipo-macho/,CONECTOR PLUG DC TIPO MACHO,N048,6.0,4.0,Bs.,True,,Dimax,,,CONECTOR PLUG DC TIPO MACHO *25CM *PARA ALIMENTACION DE LAS CAMARAS ANALOGICAS,Description CONECTOR PLUG DC TIPO MACHO *25CM *PARA ALIMENTACION DE LAS CAMARAS ANALOGICAS,https://dicabolivia.com/wp-content/uploads/2026/04/555-1.webp; https://dicabolivia.com/wp-content/uploads/2026/04/BALUN.webp; https://dicabolivia.com/wp-content/uploads/2026/04/555-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/666-1-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-22-at-12.44.00-600x600.png; https://dicabolivia.com/wp-content/uploads/2026/04/222-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/4444-600x500.png; https://dicabolivia.com/wp-content/uploads/2026/04/777-600x600.webp
22955,https://dicabolivia.com/product/par-balun-pasivo-zktco-1080p-soporta-ahd-tvi-hdcvi-cbvs/,"PAR BALUN PASIVO ZKTCO 1080P, SOPORTA AHD-TVI-HDCVI-CBVS",ZK-CF200,30.0,20.0,Bs.,True,,ZKTECO,,,"BALUM PASIVO PARA CCTV 1080P Par de adaptadores pasivos de CCTV, 1080p a 250 Mts/ 720p a 400 Mts, Soporta HDCVI/AHD/ TVI/ CBVS/","Description BALUM PASIVO PARA CCTV 1080P Par de adaptadores pasivos de CCTV, 1080p a 250 Mts/ 720p a 400 Mts, Soporta HDCVI/AHD/ TVI/ CBVS/",https://dicabolivia.com/wp-content/uploads/2026/04/4444.png; https://dicabolivia.com/wp-content/uploads/2026/04/BALUN.webp; https://dicabolivia.com/wp-content/uploads/2026/04/55555-600x600.jpg; https://dicabolivia.com/wp-content/uploads/2026/04/4444-1-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/444-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/3333-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/BALUN-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/666-1-600x600.webp
22963,https://dicabolivia.com/product/patch-cord-bncdc-10-metros-negro/,PATCH CORD BNC+DC *10 METROS *NEGRO,N055,60.0,45.0,Bs.,True,,Dimax,,,PATCH CORD CONECTORES BNC+DC *10 METROS *NEGRO *PARA CONEXIÓN DE CAMARAS,Description PATCH CORD CONECTORES BNC+DC *10 METROS *NEGRO *PARA CONEXIÓN DE CAMARAS,https://dicabolivia.com/wp-content/uploads/2026/04/3333.webp; https://dicabolivia.com/wp-content/uploads/2026/04/BALUN.webp; https://dicabolivia.com/wp-content/uploads/2026/04/BALUN-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-22-at-12.44.00-600x600.png; https://dicabolivia.com/wp-content/uploads/2026/04/777-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/3333333333333333333-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/04/111-600x600.png; https://dicabolivia.com/wp-content/uploads/2026/04/666-1-600x600.webp
