id,url,nombre,sku,precio_regular,precio_oferta,precio_metro,unidad,metros,moneda,en_stock,stock_cantidad,marca,categorias,tags,descripcion_corta,descripcion_larga,imagenes
23145,https://dicabolivia.com/product/cable-utp-cat-6un-305-metros/,CABLE UTP CAT 6UN 305 METROS,DH-PFM920I-6UN-C,1500.0,1380.0,4.52,metro,305,Bs.,True,,dahua,,,"CABLE UTP CAT 6UN 305 METROS *100% COBRE *VAINA =13,5 MPa, AISLAMIENTO =16*POE A LARGA DISTANCIA *COLOR BLANCO * REV EXT PVC *CERTIFICACION CE, CPR, ECA FLAME","Description CABLE UTP CAT 6UN 305 METROS *100% COBRE *VAINA =13,5 MPa, AISLAMIENTO =16*POE A LARGA DISTANCIA *COLOR BLANCO * REV EXT PVC *CERTIFICACION CE, CPR, ECA FLAME",https://dicabolivia.com/wp-content/uploads/2026/05/444444444444.webp; https://dicabolivia.com/wp-content/uploads/2026/07/222-600x600.png; https://dicabolivia.com/wp-content/uploads/2026/01/1111-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/1-2.webp; https://dicabolivia.com/wp-content/uploads/2026/07/111-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/4.webp; https://dicabolivia.com/wp-content/uploads/2026/01/1-3.webp
22625,https://dicabolivia.com/product/cable-utp-cat5e-100-cobre-100mts/,CABLE UTP CAT5E 100% COBRE *100MTS,DH-PFM920I-5EU-U-100,500.0,435.0,4.35,metro,100,Bs.,True,,,,,"CABLE UTP CAT5E 100% COBRE *100MTS *24AWG *MATERIAL HDPE *CERTIFICACION UL CM *ESTANDAR ANSI/TIA 568-C.2-2009, UL444-2008","Description CABLE UTP CAT5E 100% COBRE *100MTS *24AWG *MATERIAL HDPE *CERTIFICACION UL CM *ESTANDAR ANSI/TIA 568-C.2-2009, UL444-2008",https://dicabolivia.com/wp-content/uploads/2026/01/7.webp; https://dicabolivia.com/wp-content/uploads/2026/07/111-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/4.webp; https://dicabolivia.com/wp-content/uploads/2026/07/222-600x600.png; https://dicabolivia.com/wp-content/uploads/2026/01/1-3.webp; https://dicabolivia.com/wp-content/uploads/2026/01/2-1.webp; https://dicabolivia.com/wp-content/uploads/2026/01/1111-600x600.webp
22623,https://dicabolivia.com/product/cable-utp-cat5e-bc-int-100-metros/,CABLE UTP CAT5E BC INT* 100 METROS*,C760,500.0,435.0,4.35,metro,100,Bs.,True,,Dimax,,,CABLE UTP CAT5E BC INT* 100% COBRE* 24 AWG* 4 PARES* 0.5MM* PASS FLUKE* CHAQUETA SIMPLE* 100 METROS* COLOR BLANCO*,Description CABLE UTP CAT5E BC INT* 100% COBRE* 24 AWG* 4 PARES* 0.5MM* PASS FLUKE* CHAQUETA SIMPLE* 100 METROS* COLOR BLANCO*,https://dicabolivia.com/wp-content/uploads/2026/01/6.webp; https://dicabolivia.com/wp-content/uploads/2026/05/444444444444-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/07/222-600x600.png; https://dicabolivia.com/wp-content/uploads/2026/01/2-1.webp; https://dicabolivia.com/wp-content/uploads/2026/01/5-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/1-2.webp; https://dicabolivia.com/wp-content/uploads/2026/01/3-1.jpg
22621,https://dicabolivia.com/product/cable-utp-cat5e-cca-ext-siames-305-metros/,CABLE UTP CAT5E CCA EXT SIAMES* 305 METROS,C719,900.0,885.0,2.9,metro,305,Bs.,True,,Dimax,,,CABLE UTP CAT5E CCA EXT SIAMES* ALEACION* 24 AWG* 4 PARES* 0.5MM* PASS FLUKE* CABLE DE ALIMENTACION DE 2 NUCLEOS* 305 METROS* CARRETE DE MADERA* COLOR NEGRO*,Description CABLE UTP CAT5E CCA EXT SIAMES* ALEACION* 24 AWG* 4 PARES* 0.5MM* PASS FLUKE* CABLE DE ALIMENTACION DE 2 NUCLEOS* 305 METROS* CARRETE DE MADERA* COLOR NEGRO*,https://dicabolivia.com/wp-content/uploads/2026/01/5.webp; https://dicabolivia.com/wp-content/uploads/2026/01/1-4-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/1111-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/3-1.jpg; https://dicabolivia.com/wp-content/uploads/2026/07/111-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/07/222-600x600.png; https://dicabolivia.com/wp-content/uploads/2026/01/1-2.webp
22576,https://dicabolivia.com/product/cable-utp-cat5e-cca-ext-305-metros/,CABLE UTP CAT5E CCA EXT* 305 METROS*,C711,490.0,390.0,1.28,metro,305,Bs.,True,,Dimax,,,CABLE UTP CAT5E CCA EXT* ALEACION* 24 AWG*4 PARES* 0.5MM* PASS FLUKE* CHAQUETA SIMPLE* 305 METROS* CARRETE DE MADERA* COLOR NEGRO*,Description CABLE UTP CAT5E CCA EXT* ALEACION* 24 AWG*4 PARES* 0.5MM* PASS FLUKE* CHAQUETA SIMPLE* 305 METROS* CARRETE DE MADERA* COLOR NEGRO* C711,https://dicabolivia.com/wp-content/uploads/2026/01/1111.webp; https://dicabolivia.com/wp-content/uploads/2026/01/7-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/1-2.webp; https://dicabolivia.com/wp-content/uploads/2026/07/111-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/1.jpg; https://dicabolivia.com/wp-content/uploads/2026/05/444444444444-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/4.webp
23149,https://dicabolivia.com/product/cable-utp-cat5e-cca-int-100-metros/,CABLE UTP CAT5E CCA INT* 100 METROS*,C715,150.0,130.0,1.3,metro,100,Bs.,True,,Dimax,,,CABLE UTP CAT5E CCA INT* ALEACCION* 24 AWG* 4 PARES* 0.5MM* PASS FLUKE* CHAQUETA SIMPLE* 100 METROS* COLOR BLANCO*,Description CABLE UTP CAT5E CCA INT* ALEACCION* 24 AWG* 4 PARES* 0.5MM* PASS FLUKE* CHAQUETA SIMPLE* 100 METROS* COLOR BLANCO*,https://dicabolivia.com/wp-content/uploads/2026/07/111.webp; https://dicabolivia.com/wp-content/uploads/2026/01/7-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/6.webp; https://dicabolivia.com/wp-content/uploads/2026/05/444444444444-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/5-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/2-1.webp; https://dicabolivia.com/wp-content/uploads/2026/01/1.jpg
22584,https://dicabolivia.com/product/cable-utp-cat5e-cca-int-305m-metros/,CABLE UTP CAT5E CCA INT* 305M METROS*,C714,390.0,315.0,1.03,metro,305,Bs.,True,,Dimax,,,CABLE UTP CAT5E CCA INT* ALEACION* 24 AWG* 4 PARES* 0.5MM* PASS FLUKE* CHAQUETA SIMPLE* 305 METROS* COLOR BLANCO,Description CABLE UTP CAT5E CCA INT* ALEACION* 24 AWG* 4 PARES* 0.5MM* PASS FLUKE* CHAQUETA SIMPLE* 305 METROS* COLOR BLANCO,https://dicabolivia.com/wp-content/uploads/2026/01/1-2.webp; https://dicabolivia.com/wp-content/uploads/2026/01/1-3.webp; https://dicabolivia.com/wp-content/uploads/2026/01/1-4-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/07/222-600x600.png; https://dicabolivia.com/wp-content/uploads/2026/01/4.webp; https://dicabolivia.com/wp-content/uploads/2026/01/6.webp; https://dicabolivia.com/wp-content/uploads/2026/01/1.jpg
22615,https://dicabolivia.com/product/cable-utp-cat5e-ccae-int-305-metros/,CABLE UTP CAT5E CCAE INT* 305 METROS*,C721,750.0,680.0,2.23,metro,305,Bs.,True,,Dimax,,,CABLE UTP CAT5E CCAE INT* 80% COBRE* 24 AWG* 4 PARES* 0.5MM* PASS FLUKE* CHAQUETA SIMPLE* 305 METROS* COLOR BLANCO*,Description CABLE UTP CAT5E CCAE INT* 80% COBRE* 24 AWG* 4 PARES* 0.5MM* PASS FLUKE* CHAQUETA SIMPLE* 305 METROS* COLOR BLANCO*,https://dicabolivia.com/wp-content/uploads/2026/01/1-3.webp; https://dicabolivia.com/wp-content/uploads/2026/01/4.webp; https://dicabolivia.com/wp-content/uploads/2026/01/1111-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/2-1.webp; https://dicabolivia.com/wp-content/uploads/2026/01/3-1.jpg; https://dicabolivia.com/wp-content/uploads/2026/01/1-4-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/7-600x600.webp
22627,https://dicabolivia.com/product/cable-utp-cat6-100-cobre-100mts/,CABLE UTP CAT6 100% COBRE *100MTS,DH-PFM920I-6U-C-100,650.0,585.0,5.85,metro,100,Bs.,True,,dahua,,,Cable UTP CAT6. 100% cobre. Calibre 24 AWG. Aislamiento con material HDPE. 4 pares. Sobrecubierta de PVC color blanco. 100 metros de longitud. Certificación CPR Eca. Peso Neto 3.8 kg ± 0.3 kg. Dimensión de embalaje 595 mm × 310 mm × 270 mm. Peso con embalaje de 4.0 kg ± 0.3 kg.,Description Cable UTP CAT6. 100% cobre. Calibre 24 AWG. Aislamiento con material HDPE. 4 pares. Sobrecubierta de PVC color blanco. 100 metros de longitud. Certificación CPR Eca. Peso Neto 3.8 kg ± 0.3 kg. Dimensión de embalaje 595 mm × 310 mm × 270 mm. Peso con embalaje de 4.0 kg ± 0.3 kg.,https://dicabolivia.com/wp-content/uploads/2026/01/1-4.webp; https://dicabolivia.com/wp-content/uploads/2026/05/444444444444-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/1-2.webp; https://dicabolivia.com/wp-content/uploads/2026/01/3-1.jpg; https://dicabolivia.com/wp-content/uploads/2026/01/7-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/07/222-600x600.png; https://dicabolivia.com/wp-content/uploads/2026/01/4.webp
22629,https://dicabolivia.com/product/cable-utp-cat6-cca-30-cobre-305mts/,CABLE UTP CAT6 CCA 30% COBRE *305MTS INTERIOR,DH-PFM922I-6UN-C,650.0,550.0,1.8,metro,305,Bs.,True,,dahua,,,"Cable UTP 305mts -305 mts (1000 pies)/caja UTP CAT6, alimentación a través de Ethernet, compatible con un cable. -Excelencia en fabricación. -Funda exterior de PVC personalizada, dotada de cierta capacidad ignífuga. -Material CCA (Contenido de cobre: 22%–31%) -Diámetro 0,57mm ± 0,01 mm -Calibre de cable 23 AWG Peso Neto 3.8 kg ± 0.3 kg. Dimensión de embalaje 595 mm × 310 mm × 270 mm. Peso con embalaje de 4.0 kg ± 0.3 kg.","Description Cable UTP 305mts -305 mts (1000 pies)/caja UTP CAT6, alimentación a través de Ethernet, compatible con un cable. -Excelencia en fabricación. -Funda exterior de PVC personalizada, dotada de cierta capacidad ignífuga. -Material CCA (Contenido de cobre: 22%–31%) -Diámetro 0,57mm ± 0,01 mm -Calibre de cable 23 AWG",https://dicabolivia.com/wp-content/uploads/2026/01/1.jpg; https://dicabolivia.com/wp-content/uploads/2026/01/4.webp; https://dicabolivia.com/wp-content/uploads/2026/05/444444444444-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/1-4-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/6.webp; https://dicabolivia.com/wp-content/uploads/2026/01/7-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/01/1111-600x600.webp
