id,url,nombre,sku,precio_regular,precio_oferta,moneda,en_stock,stock_cantidad,marca,categorias,tags,descripcion_corta,descripcion_larga,imagenes
23153,https://dicabolivia.com/product/camara-hdcvi-2mp-full-color/,CAMARA HDCVI 2MP FULL COLOR,HAC-HFW1200CM-IL-A-28B-S6,300.0,250.0,Bs.,True,1,dahua,,,CAMARA HDCVI 2MP FULL COLOR *METALICA *MAX. 30 fps@1080P *DOBLE ILUMINACION SMART *DIST. ILUM. 20M *MIC INTEGRADO *LENTE 2.8MM *IP67 *3D NR,Description CAMARA HDCVI 2MP FULL COLOR *METALICA *MAX. 30 fps@1080P *DOBLE ILUMINACION SMART *DIST. ILUM. 20M *MIC INTEGRADO *LENTE 2.8MM *IP67 *3D NR,https://dicabolivia.com/wp-content/uploads/2026/07/333.webp; https://dicabolivia.com/wp-content/uploads/2026/04/DHHACB2A21NUA0280B-image-0-1725885808957.webp; https://dicabolivia.com/wp-content/uploads/2025/11/111-2.png; https://dicabolivia.com/wp-content/uploads/2025/11/111-1-600x570.png; https://dicabolivia.com/wp-content/uploads/2025/11/6069.jpg; https://dicabolivia.com/wp-content/uploads/2025/11/444-600x600.jpg; https://dicabolivia.com/wp-content/uploads/2025/11/222-1-600x600.png; https://dicabolivia.com/wp-content/uploads/2024/05/1mp.png
22641,https://dicabolivia.com/product/camara-hdcvi-bala-1mp/,CAMARA HDCVI BALA 1MP,DH-HAC-B1A11N-0280B,145.0,128.0,Bs.,True,,dahua,,,CAMARA HDCVI BALA 1MP *PLASTICO *SENSOR 1/2.7″ CMOS *MAX 30FPS 720P *SALIDA HD Y SD *LENTE 2.8MM *MAX. IR 20M *IP67 *DWDR *DC12V,Description CAMARA HDCVI BALA 1MP *PLASTICO *SENSOR 1/2.7″ CMOS *MAX 30FPS 720P *SALIDA HD Y SD *LENTE 2.8MM *MAX. IR 20M *IP67 *DWDR *DC12V,https://dicabolivia.com/wp-content/uploads/2026/01/7-1.webp; https://dicabolivia.com/wp-content/uploads/2024/05/1mp.png; https://dicabolivia.com/wp-content/uploads/2025/11/DHHACT2A21NU0280B-image-0-1724266031240-600x600.webp; https://dicabolivia.com/wp-content/uploads/2025/11/222-2.png; https://dicabolivia.com/wp-content/uploads/2025/11/5780-1.png; https://dicabolivia.com/wp-content/uploads/2025/11/666.png; https://dicabolivia.com/wp-content/uploads/2025/11/222-1-600x600.png
22635,https://dicabolivia.com/product/camara-hdcvi-bala-2mp-ir80m/,CAMARA HDCVI BALA 2MP *IR80M,DH-HAC-HFW1200DN-0360B-S6,370.0,300.0,Bs.,True,,dahua,,,CAMARA HDCVI BALA METALICA 2MP *3.6MM *SMART IR 80M *DIA/NOCHE *AWB *AGC *BLC *2D *IP67 *DC12V *NTSC,Description CAMARA HDCVI BALA METALICA 2MP *3.6MM *SMART IR 80M *DIA/NOCHE *AWB *AGC *BLC *2D *IP67 *DC12V *NTSC,https://dicabolivia.com/wp-content/uploads/2026/01/3.webp; https://dicabolivia.com/wp-content/uploads/2025/11/DHHACT1A21NU0280B-image-0-1721137889432-600x600.webp; https://dicabolivia.com/wp-content/uploads/2024/01/2-600x600.webp; https://dicabolivia.com/wp-content/uploads/2025/11/444-600x600.png; https://dicabolivia.com/wp-content/uploads/2025/11/111-2.png; https://dicabolivia.com/wp-content/uploads/2024/05/5792.png; https://dicabolivia.com/wp-content/uploads/2025/11/666.png
22613,https://dicabolivia.com/product/camara-hdcvi-bala-5mp/,CAMARA HDCVI BALA 5MP,DH-HAC-HFW1500DN-0360B-S2,700.0,475.0,Bs.,True,,dahua,,,CAMARA HDCVI BALA 5MP METALICA *SENSOR 1/2.7″ CMOS * MAX 25 FPS@5MP * CVI/CVBS/AHD/TVI *LENTE 3.6MM *IR MAX 80M SMART IR *BLC/HLC/DWDR *DWDR *IP67 *12VDC *,Description CAMARA HDCVI BALA 5MP METALICA *SENSOR 1/2.7″ CMOS * MAX 25 FPS@5MP * CVI/CVBS/AHD/TVI *LENTE 3.6MM *IR MAX 80M SMART IR *BLC/HLC/DWDR *DWDR *IP67 *12VDC *,https://dicabolivia.com/wp-content/uploads/2026/01/66.webp; https://dicabolivia.com/wp-content/uploads/2025/11/333.png; https://dicabolivia.com/wp-content/uploads/2025/11/DS-2CE16D0T-IRF、IRPF筒机14-D0T-C版本-600x405.jpg; https://dicabolivia.com/wp-content/uploads/2024/05/5781-1.png; https://dicabolivia.com/wp-content/uploads/2025/11/IPCK2EN3H3WIMOU-image-0-1749656652299-600x600.webp; https://dicabolivia.com/wp-content/uploads/2025/11/111-1-600x570.png; https://dicabolivia.com/wp-content/uploads/2025/11/DHHACT1A21NU0280B-image-0-1721137889432-600x600.webp
22611,https://dicabolivia.com/product/camara-hdcvi-bala-5mp-con-audio/,CAMARA HDCVI BALA 5MP *CON AUDIO,HAC-HFW1500TLN-A-0280B-S2,400.0,390.0,Bs.,True,,,,,CAMARA HDCVI BALA 5MP *MICROFONO INCORPORADO *1/2.7″ CMOS *MAX 25FPS 5MP *LENTE 2.8MM *IR 80M *SMART IR *IP67 *DC12V *DWDR *LENTE AHUMADO,Description CAMARA HDCVI BALA 5MP *MICROFONO INCORPORADO *1/2.7″ CMOS *MAX 25FPS 5MP *LENTE 2.8MM *IR 80M *SMART IR *IP67 *DC12V *DWDR *LENTE AHUMADO,https://dicabolivia.com/wp-content/uploads/2026/01/55.webp; https://dicabolivia.com/wp-content/uploads/2025/11/IPCK2EN3H3WIMOU-image-0-1749656652299-600x600.webp; https://dicabolivia.com/wp-content/uploads/2025/11/DHHACT2A21NU0280B-image-0-1724266031240-600x600.webp; https://dicabolivia.com/wp-content/uploads/2025/11/6069.jpg; https://dicabolivia.com/wp-content/uploads/2025/11/DS-2CE16D0T-IRF、IRPF筒机14-D0T-C版本-600x405.jpg; https://dicabolivia.com/wp-content/uploads/2025/11/222-2.png; https://dicabolivia.com/wp-content/uploads/2024/05/5792.png
22791,https://dicabolivia.com/product/camara-hdcvi-bala-5mp-full-color/,CAMARA HDCVI BALA 5MP FULL COLOR,HAC-HFW1500CLN-IL-A-28-S2,429.0,392.0,Bs.,True,,dahua,,,CAMARA HDCVI BALA 5MP FULL COLOR *PLASTICA *MAX 25 fps@5MP *DOBLE ILUMINACION INTELIGENTE *DIST. ILUM. 20M *MIC INTEGRADO *LENTE 2.8MM *IP67 *2D NR,Description CAMARA HDCVI BALA 5MP FULL COLOR *PLASTICA *MAX 25 fps@5MP *DOBLE ILUMINACION INTELIGENTE *DIST. ILUM. 20M *MIC INTEGRADO *LENTE 2.8MM *IP67 *2D NR,https://dicabolivia.com/wp-content/uploads/2026/04/HACHFW1500CLNILA28S2-image-1-16-32-40.webp; https://dicabolivia.com/wp-content/uploads/2024/05/5781-1.png; https://dicabolivia.com/wp-content/uploads/2025/11/6069.jpg; https://dicabolivia.com/wp-content/uploads/2025/11/222.png; https://dicabolivia.com/wp-content/uploads/2025/11/444-600x600.png; https://dicabolivia.com/wp-content/uploads/2025/11/222-1-600x600.png; https://dicabolivia.com/wp-content/uploads/2024/01/2-600x600.webp
23056,https://dicabolivia.com/product/camara-hdcvi-cooper-bala-2mp-metalica-2/,CAMARA HDCVI COOPER BALA 2MP METALICA,DH-HAC-B2A21N-U,200.0,190.0,Bs.,True,1,dahua,,,CAMARA HDCVI COOPER BALA 2MP METALICA CON MAX. 30 fps@1080p *LENTE 2.8MM *IR MAX 30M *CVI/CVBS/AHD/TVI *IP67,Description CAMARA HDCVI COOPER BALA 2MP METALICA MAX. 30 fps@1080p *LENTE 2.8MM *IR MAX 30M *CVI/CVBS/AHD/TVI *IP67,https://dicabolivia.com/wp-content/uploads/2026/04/DHHACB2A21NUA0280B-image-0-1725885808957.webp; https://dicabolivia.com/wp-content/uploads/2025/11/DHHACT2A21NU0280B-image-0-1724266031240-600x600.webp; https://dicabolivia.com/wp-content/uploads/2024/05/1mpdp.png; https://dicabolivia.com/wp-content/uploads/2025/11/111-1-600x570.png; https://dicabolivia.com/wp-content/uploads/2025/11/333.png; https://dicabolivia.com/wp-content/uploads/2024/05/5792.png; https://dicabolivia.com/wp-content/uploads/2025/11/111-2.png
22796,https://dicabolivia.com/product/camara-hdcvi-cooper-bala-2mp-metalica/,CAMARA HDCVI COOPER BALA 2MP METALICA CON AUDIO,DH-HAC-B2A21N-U-A-0280B,299.0,245.0,Bs.,False,,dahua,,,CAMARA HDCVI COOPER BALA 2MP METALICA CON AUDIO *MAX. 30 fps@1080p *LENTE 2.8MM *IR MAX 30M *CVI/CVBS/AHD/TVI *IP67,Description CAMARA HDCVI COOPER BALA 2MP METALICA CON AUDIO *MAX. 30 fps@1080p *LENTE 2.8MM *IR MAX 30M *CVI/CVBS/AHD/TVI *IP67,https://dicabolivia.com/wp-content/uploads/2026/04/DHHACB2A21NUA0280B-image-0-1725885808957.webp; https://dicabolivia.com/wp-content/uploads/2025/11/6068_Mz4C1n2.jpg; https://dicabolivia.com/wp-content/uploads/2024/01/2-600x600.webp; https://dicabolivia.com/wp-content/uploads/2025/11/111.png; https://dicabolivia.com/wp-content/uploads/2024/05/5792.png; https://dicabolivia.com/wp-content/uploads/2025/11/111-1-600x570.png; https://dicabolivia.com/wp-content/uploads/2025/11/666.png
22607,https://dicabolivia.com/product/camara-hdcvi-cooper-bala-5mp-metalica/,CAMARA HDCVI COOPER BALA 5MP METALICA,DH-HAC-B2A51N-U-0280B-S2,350.0,325.0,Bs.,False,,dahua,,,"CAMARA HDCVI COOPER BALA 5MP METALICA *LENTE 2.8MM *MAX 25 FPS@5MP (16:9 SALIDA DE VIDEO) *MAX IR30 MTS *CVI/CVBS/AHD/TVI *IP67 *BLC, HLC, DWDR, 2D NR","Description CAMARA HDCVI COOPER BALA 5MP METALICA *LENTE 2.8MM *MAX 25 FPS@5MP (16:9 SALIDA DE VIDEO) *MAX IR30 MTS *CVI/CVBS/AHD/TVI *IP67 *BLC, HLC, DWDR, 2D NR",https://dicabolivia.com/wp-content/uploads/2026/01/22.webp; https://dicabolivia.com/wp-content/uploads/2025/11/5780-1.png; https://dicabolivia.com/wp-content/uploads/2025/11/444-600x600.png; https://dicabolivia.com/wp-content/uploads/2025/11/111-2.png; https://dicabolivia.com/wp-content/uploads/2024/01/2-600x600.webp; https://dicabolivia.com/wp-content/uploads/2025/11/111-1-600x570.png; https://dicabolivia.com/wp-content/uploads/2025/11/6069.jpg
22379,https://dicabolivia.com/product/camara-hdcvi-cooper-domo-2mp-metalica/,CAMARA HDCVI COOPER DOMO 2MP METALICA,DH-HAC-T2A21N-U,248.0,160.0,Bs.,True,,dahua,,,CAMARA HDCVI COOPER DOMO 2MP METALICA *DIST. ILUMINACION 30M *LENTE FIJO 2.8MM *CVI/CVBS/AHD/TVI *IP67,Description CAMARA HDCVI COOPER DOMO 2MP METALICA *DIST. ILUMINACION 30M *LENTE FIJO 2.8MM *CVI/CVBS/AHD/TVI *IP67,https://dicabolivia.com/wp-content/uploads/2025/11/DHHACT2A21NU0280B-image-0-1724266031240.webp; https://dicabolivia.com/wp-content/uploads/2025/11/DHHACT1A21NU0280B-image-0-1721137889432-600x600.webp; https://dicabolivia.com/wp-content/uploads/2025/11/DS-2CE16D0T-IRF、IRPF筒机14-D0T-C版本-600x405.jpg; https://dicabolivia.com/wp-content/uploads/2025/11/IPCK2EN3H3WIMOU-image-0-1749656652299-600x600.webp; https://dicabolivia.com/wp-content/uploads/2025/11/111-2.png; https://dicabolivia.com/wp-content/uploads/2025/11/222-1-600x600.png; https://dicabolivia.com/wp-content/uploads/2024/05/1mpdp.png
22374,https://dicabolivia.com/product/dh-hac-t1a21n-u/,CAMARA HDCVI COOPER DOMO 2MP PLASTICA,DH-HAC-T1A21N-U,198.0,145.0,Bs.,True,,dahua,,,"CAMARA HDCVI COOPER DOMO 2MP PLASTICA *IR25 MTS *LENTE 2.8MM *MAX. 30 FPS@1080P *CVI/CVBS/AHD/TVI *BLC, DWDR, 2D NR","Description CAMARA HDCVI COOPER DOMO 2MP PLASTICA *IR25 MTS *LENTE 2.8MM *MAX. 30 FPS@1080P *CVI/CVBS/AHD/TVI *BLC, DWDR, 2D NR",https://dicabolivia.com/wp-content/uploads/2025/11/DHHACT1A21NU0280B-image-0-1721137889432.webp; https://dicabolivia.com/wp-content/uploads/2025/11/444-600x600.png; https://dicabolivia.com/wp-content/uploads/2024/05/1mpdp.png; https://dicabolivia.com/wp-content/uploads/2025/11/666.png; https://dicabolivia.com/wp-content/uploads/2025/11/222.png; https://dicabolivia.com/wp-content/uploads/2024/05/5792.png; https://dicabolivia.com/wp-content/uploads/2025/11/222-1-600x600.png
