id,url,nombre,sku,precio_regular,precio_oferta,moneda,en_stock,stock_cantidad,marca,categorias,tags,descripcion_corta,descripcion_larga,imagenes
22325,https://dicabolivia.com/product/ds-7204hghi-m1/,[AUDIO BIDIRECCIONAL] DVR 4 CANALES TURBOHD+1 CANALES IP/2 MP LITE/ACUSENSE LITE/1 HDD/H.265 PRO+,DS-7204HGHI-M1-T,400.0,280.0,Bs.,True,,hikvision,,,Audio bidireccional por Coaxitron en todos los canales | 1080p Lite/720p /WD1/4CIF/VGA/CIF@15 fps | Detección movimiento con filtro humano/vehículo | Compresión H.265+ para máxima eficiencia almacenamiento | Video simultáneo en HDMI y VGA | Soporta HDD de hasta 6 TB,Description Audio bidireccional por Coaxitron en todos los canales | 1080p Lite/720p /WD1/4CIF/VGA/CIF@15 fps | Detección movimiento con filtro humano/vehículo | Compresión H.265+ para máxima eficiencia almacenamiento | Video simultáneo en HDMI y VGA | Soporta HDD de hasta 6 TB,https://dicabolivia.com/wp-content/uploads/2024/05/11111111.png; https://dicabolivia.com/wp-content/uploads/2026/04/1112222.png; https://dicabolivia.com/wp-content/uploads/2024/05/777.png; https://dicabolivia.com/wp-content/uploads/2024/01/4714.jpg; https://dicabolivia.com/wp-content/uploads/2024/01/xvr-04-600x600.jpg; https://dicabolivia.com/wp-content/uploads/2025/11/1010.png; https://dicabolivia.com/wp-content/uploads/2024/01/1-600x600.webp
22776,https://dicabolivia.com/product/dh-xvr5104hs-i3/,DH-XVR5104HS-I3,DH-XVR5104HS-I3,1100.0,1015.0,Bs.,True,,dahua,,,"GRABADOR PENTAHIBRIDO DE 4CH *WIZSENSE *4M-N/1080P 1–15 FPS *· H.265+/H.265 *1IN/1OUT AUDIO *1HDD HASTA 6TB *1HDMI,1VGA,2USB*RS485 *DDNS *P2P *2CH IP *DC12/1.5A","Description GRABADOR PENTAHIBRIDO DE 4CH *WIZSENSE *4M-N/1080P 1–15 FPS *· H.265+/H.265 *1IN/1OUT AUDIO *1HDD HASTA 6TB *1HDMI,1VGA,2USB*RS485 *DDNS *P2P *2CH IP *DC12/1.5A",https://dicabolivia.com/wp-content/uploads/2024/01/xvr-04.jpg; https://dicabolivia.com/wp-content/uploads/2024/05/08.png; https://dicabolivia.com/wp-content/uploads/2026/03/333.webp; https://dicabolivia.com/wp-content/uploads/2026/03/12345.jpg; https://dicabolivia.com/wp-content/uploads/2024/01/xvr-04-600x600.jpg; https://dicabolivia.com/wp-content/uploads/2026/04/1112222.png; https://dicabolivia.com/wp-content/uploads/2024/05/11111111-600x476.png
22192,https://dicabolivia.com/product/dh-xvr5108hs-i3/,DH-XVR5108HS-I3,DH-XVR5108HS-I3,1200.0,1125.0,Bs.,True,,dahua,,,"GRABADOR PENTAHIBRIDO DE 8CH *WIZSENSE *4M-N/1080P 1–15 FPS *1HDD HASTA 10TB *1IN/1OUT AUDIO *1 HDMI, 1VGA, 2USB *1 RJ-45 *RS485","Description GRABADOR PENTAHIBRIDO DE 8CH *WIZSENSE *4M-N/1080P 1–15 FPS *1HDD HASTA 10TB *1IN/1OUT AUDIO *1 HDMI, 1VGA, 2USB *1 RJ-45 *RS485",https://dicabolivia.com/wp-content/uploads/2024/01/xvr-04.jpg; https://dicabolivia.com/wp-content/uploads/2024/01/imou-rejestrator-ip-wifi-nvr1_80322-600x600.jpg; https://dicabolivia.com/wp-content/uploads/2024/01/1-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/05/111-600x600.webp; https://dicabolivia.com/wp-content/uploads/2025/11/999.png; https://dicabolivia.com/wp-content/uploads/2026/04/2222.png
22202,https://dicabolivia.com/product/dhi-xvr5216an-s2/,DHI-XVR5216AN-S2,0165,2876.0,2876.0,Bs.,False,,dahua,,,Grabadores XVR Penta híbridos Código: DHI-XVR5216AN-S2 GRABADOR ANALOGICO 16 CANALES 2 HDD SOPORTA 4MP//// 5U X CAJA -XVR Pentahibrido de 16 Canales -4 Megapixeles Lite Codificación H.264+ -2 Bahias de Discos Duros -8 Canales IP Adicionales -IVS -HDMI&VGA -Busqueda Inteligente,Description Grabadores XVR Penta híbridos Código: DHI-XVR5216AN-S2 GRABADOR ANALOGICO 16 CANALES 2 HDD SOPORTA 4MP//// 5U X CAJA -XVR Pentahibrido de 16 Canales -4 Megapixeles Lite Codificación H.264+ -2 Bahias de Discos Duros -8 Canales IP Adicionales -IVS -HDMI&VGA -Busqueda Inteligente,https://dicabolivia.com/wp-content/uploads/2024/01/4714.jpg; https://dicabolivia.com/wp-content/uploads/2026/04/1112222.png; https://dicabolivia.com/wp-content/uploads/2025/11/1010.png; https://dicabolivia.com/wp-content/uploads/2026/03/1234-600x600.png; https://dicabolivia.com/wp-content/uploads/2025/11/999.png; https://dicabolivia.com/wp-content/uploads/2026/05/555-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/05/111-600x600.webp
23064,https://dicabolivia.com/product/grabador-cooper-pentahibrido-de-16ch/,GRABADOR COOPER PENTAHIBRIDO DE 16CH,DH-XVR1B16-I/T,990.0,795.0,Bs.,True,,dahua,,,"GRABADOR COOPER PENTAHIBRIDO DE 16CH CON AUDIO BIDIRECCIONAL *SOP. HDCVI, AHD, TVI, CVBS *SOP. HASTA 16CH IP HASTA 6MP *SOPORTA CAMARAS WIFI *1 HDD HASTA 16TB","Description GRABADOR COOPER PENTAHIBRIDO DE 16CH CON AUDIO BIDIRECCIONAL *SOP. HDCVI, AHD, TVI, CVBS *SOP. HASTA 16CH IP HASTA 6MP *SOPORTA CAMARAS WIFI *1 HDD HASTA 16TB",https://dicabolivia.com/wp-content/uploads/2026/05/111.webp; https://dicabolivia.com/wp-content/uploads/2026/04/1112222.png; https://dicabolivia.com/wp-content/uploads/2026/03/1234-600x600.png; https://dicabolivia.com/wp-content/uploads/2024/01/imou-rejestrator-ip-wifi-nvr1_80322-600x600.jpg; https://dicabolivia.com/wp-content/uploads/2025/11/999.png; https://dicabolivia.com/wp-content/uploads/2024/01/xvr-04-600x600.jpg; https://dicabolivia.com/wp-content/uploads/2026/04/2222.png
22771,https://dicabolivia.com/product/grabador-de-4-canales-dvr-soporta-1-camara-ip-4mp-penta-hibrido-cvbs-tvi-cvi-ahd-ip/,GRABADOR DE 4 CANALES DVR SOPORTA 1 CÁMARA IP (4MP) PENTA-HÍBRIDO (CVBS/TVI/CVI/AHD/IP),DS-7204HQHI-K1,600.0,530.0,Bs.,True,,hikvision,,,"– Grabador de 4 canales Penta-híbrido 1080P / 720P CVBS/TVI/CVI/AHD/IP (Canal 1 TVI hasta 3MP@15fps) – H.264, H.264+, H.265, H.265+ de alto perfil para obtener imágenes en alta resolución con bajo consumo de ancho de banda – 1 Canal de audio / 1 Salida de Audio – Soporta 1 disco duro SATA 6Tb – Soporta 1 cámara IP (4MP) – Funcion P2P (Codigo QR) Hikconnect – Soporta dispositivos moviles IOS / ANDROID","Description – Grabador de 4 canales Penta-híbrido 1080P / 720P CVBS/TVI/CVI/AHD/IP (Canal 1 TVI hasta 3MP@15fps) – H.264, H.264+, H.265, H.265+ de alto perfil para obtener imágenes en alta resolución con bajo consumo de ancho de banda – 1 Canal de audio / 1 Salida de Audio – Soporta 1 disco duro SATA 6Tb – Soporta 1 cámara IP (4MP) – Funcion P2P (Codigo QR) Hikconnect – Soporta dispositivos moviles IOS / ANDROID",https://dicabolivia.com/wp-content/uploads/2026/03/12345.jpg; https://dicabolivia.com/wp-content/uploads/2024/01/xvr-04-600x600.jpg; https://dicabolivia.com/wp-content/uploads/2024/01/imou-rejestrator-ip-wifi-nvr1_80322-600x600.jpg; https://dicabolivia.com/wp-content/uploads/2024/05/08.png; https://dicabolivia.com/wp-content/uploads/2025/11/1010.png; https://dicabolivia.com/wp-content/uploads/2026/05/555-600x600.webp; https://dicabolivia.com/wp-content/uploads/2024/01/1-600x600.webp
22804,https://dicabolivia.com/product/grabador-de-video-digital-de-4-canales-y-1u-con-disco-duro/,Grabador de vídeo digital de 4 canales y 1U con disco duro,XVR301-04F,400.0,275.0,Bs.,True,,UNV,,,"• Admite formatos de vídeo H.265/H.264 • Admite audio a través de cable coaxial (solo para cámaras TVI) • Controla la iluminación dual de las cámaras analógicas UNV en TVI • Admite la actualización de cámaras analógicas a través de cable coaxial • Admite cámaras TVI, AHD, CVI, CVBS e IP con acceso adaptativo • Entrada BNC de 4/8/16 canales • Admite salida HDMI de 1 canal y salida VGA de 1 canal con una resolución de hasta 1920*1080 • Salida simultánea HDMI y VGA • Larga distancia de transmisión a través de cable coaxial • Admite las cámaras más comunes con protocolos ONVIF y RTSP","Description • Admite formatos de vídeo H.265/H.264 • Admite audio a través de cable coaxial (solo para cámaras TVI) • Controla la iluminación dual de las cámaras analógicas UNV en TVI • Admite la actualización de cámaras analógicas a través de cable coaxial • Admite cámaras TVI, AHD, CVI, CVBS e IP con acceso adaptativo • Entrada BNC de 4/8/16 canales • Admite salida HDMI de 1 canal y salida VGA de 1 canal con una resolución de hasta 1920*1080 • Salida simultánea HDMI y VGA • Larga distancia de transmisión a través de cable coaxial • Admite las cámaras más comunes con protocolos ONVIF y RTSP 66",https://dicabolivia.com/wp-content/uploads/2026/04/1112222.png; https://dicabolivia.com/wp-content/uploads/2026/04/2222.png; https://dicabolivia.com/wp-content/uploads/2024/01/xvr-04-600x600.jpg; https://dicabolivia.com/wp-content/uploads/2024/01/4714.jpg; https://dicabolivia.com/wp-content/uploads/2024/05/11111111-600x476.png
22807,https://dicabolivia.com/product/grabador-de-video-digital-hibrido-xvr-5mp/,Grabador de vídeo digital híbrido XVR 5MP,XVR301-04G3,750.0,520.0,Bs.,True,,UNV,,,"• Admite formatos de vídeo H.265/H.264 • Admite audio a través de cable coaxial (solo para cámaras TVI) • Admite cámaras TVI, AHD, CVI, CVBS, IP con acceso adaptativo • Entrada BNC de 4 canales • Admite salida HDMI de 1 canal, salida VGA de 1 canal hasta 1920*1080 • Larga distancia de transmisión por cable coaxial • Admite cámaras convencionales de protocolos ONVIF y RTSP • Los términos HDMI, Interfaz multimedia de alta definición HDMI, Imagen comercial de HDMI y los logotipos de HDMI son marcas comerciales o marcas comerciales registradas de HDMI.","Description • Admite formatos de vídeo H.265/H.264 • Admite audio a través de cable coaxial (solo para cámaras TVI) • Admite cámaras TVI, AHD, CVI, CVBS, IP con acceso adaptativo • Entrada BNC de 4 canales • Admite salida HDMI de 1 canal, salida VGA de 1 canal hasta 1920*1080 • Larga distancia de transmisión por cable coaxial • Admite cámaras convencionales de protocolos ONVIF y RTSP • Los términos HDMI, Interfaz multimedia de alta definición HDMI, Imagen comercial de HDMI y los logotipos de HDMI son marcas comerciales o marcas comerciales registradas de HDMI.",https://dicabolivia.com/wp-content/uploads/2026/04/2222.png; https://dicabolivia.com/wp-content/uploads/2024/01/xvr-04-600x600.jpg; https://dicabolivia.com/wp-content/uploads/2024/01/4714.jpg; https://dicabolivia.com/wp-content/uploads/2025/11/999.png; https://dicabolivia.com/wp-content/uploads/2025/11/888-600x555.png; https://dicabolivia.com/wp-content/uploads/2024/01/imou-rejestrator-ip-wifi-nvr1_80322-600x600.jpg
22779,https://dicabolivia.com/product/grabador-pentahibrido-4ch-4k/,GRABADOR PENTAHIBRIDO 4CH 4K,DH-XVR5104HS-4KL-I3,1600.0,1440.0,Bs.,True,,dahua,,,GRABADOR PENTAHIBRIDO 4CH 4K *SOPORTA HDCVI/AHD/TVI/CVBS/IP *MAX 8CH IP HASTA 8MP *REC FACIAL *PROT PERIMETRAL *SMD PLUS *CODIFICACIÓN AI *1RJ45 *AUDIO 1/1 RCA,Description GRABADOR PENTAHIBRIDO 4CH 4K *SOPORTA HDCVI/AHD/TVI/CVBS/IP *MAX 8CH IP HASTA 8MP *REC FACIAL *PROT PERIMETRAL *SMD PLUS *CODIFICACIÓN AI *1RJ45 *AUDIO 1/1 RCA,https://dicabolivia.com/wp-content/uploads/2026/03/1234.png; https://dicabolivia.com/wp-content/uploads/2025/11/888-600x555.png; https://dicabolivia.com/wp-content/uploads/2024/01/imou-rejestrator-ip-wifi-nvr1_80322-600x600.jpg; https://dicabolivia.com/wp-content/uploads/2024/05/777.png; https://dicabolivia.com/wp-content/uploads/2026/03/12345.jpg; https://dicabolivia.com/wp-content/uploads/2026/05/111-600x600.webp; https://dicabolivia.com/wp-content/uploads/2025/11/1010.png
23062,https://dicabolivia.com/product/grabador-pentahibrido-8ch-two-way-talk-5mp/,GRABADOR PENTAHIBRIDO 8CH TWO WAY TALK 5MP,DH-XVR1B08H-I/T,900.0,875.0,Bs.,True,,dahua,,,"GRABADOR PENTAHIBRIDO DE 8CH TWO WAY TALK *SOPORTA HDCVI, AHD, TVI, CVBS, IP *12CH IP HASTA 6MP *SMD PLUS *2 USB, 1 HDMI, 1 VGA *SOPORTA 1 HDD HASTA 16TB","Description GRABADOR PENTAHIBRIDO DE 8CH TWO WAY TALK *SOPORTA HDCVI, AHD, TVI, CVBS, IP *12CH IP HASTA 6MP *SMD PLUS *2 USB, 1 HDMI, 1 VGA *SOPORTA 1 HDD HASTA 16TB",https://dicabolivia.com/wp-content/uploads/2026/05/555.webp; https://dicabolivia.com/wp-content/uploads/2024/01/1-600x600.webp; https://dicabolivia.com/wp-content/uploads/2026/05/111-600x600.webp; https://dicabolivia.com/wp-content/uploads/2025/11/1010.png; https://dicabolivia.com/wp-content/uploads/2024/01/xvr-04-600x600.jpg; https://dicabolivia.com/wp-content/uploads/2026/03/12345.jpg; https://dicabolivia.com/wp-content/uploads/2025/11/888-600x555.png
